kepid,tm_designation,teff,teff_err1,teff_err2,logg,logg_err1,logg_err2,feh,feh_err1,feh_err2,mass,mass_err1,mass_err2,radius,radius_err1,radius_err2,dens,dens_err1,dens_err2,prov_sec,kepmag,limbdark_coeff1,limbdark_coeff2,limbdark_coeff3,limbdark_coeff4,dist,dist_err1,dist_err2,nconfp,nkoi,ntce,datalink_dvr,st_delivname,st_vet_date_str,ra,dec,st_quarters,teff_prov,logg_prov,feh_prov,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,dutycycle,dataspan,mesthres01p5,mesthres02p0,mesthres02p5,mesthres03p0,mesthres03p5,mesthres04p5,mesthres05p0,mesthres06p0,mesthres07p5,mesthres09p0,mesthres10p5,mesthres12p0,mesthres12p5,mesthres15p0,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0,av,av_err1,av_err2,dutycycle_post,dataspan_post,timeout01p5,timeout02p0,timeout02p5,timeout03p0,timeout03p5,timeout04p5,timeout05p0,timeout06p0,timeout07p5,timeout09p0,timeout10p5,timeout12p0,timeout12p5,timeout15p0,timeoutsumry,cdppslplong,cdppslpshrt,KIC,Gaia,Teff,e_Teff,D,E_D,e_D,R*,E_R*,e_R*,AV,Evol,Bin,dist_DR25,dist_DR25_err1,dist_DR25_err2,radius_DR25,radius_DR25_err1,radius_DR25_err2
10068797,2MASS J19164900+4700287,3692,114.0,-152.0,4.768,0.119,-0.042,-0.04,0.25,-0.3,0.49,0.06,-0.111,0.417,0.011,-0.011,6.2860000000000005,4.377,-1.271,DSEP,12.83,0.5028,0.6025,-0.3614,0.0743,42.064,0.073,-0.073,0,0,2,010/010068/010068797/dv/kplr010068797-20160209194854_dvr.pdf,q1_q17_dr25_stellar,2017-03-23,289.20416,47.008389,11111111111111111,PHO54,PHO54,PHO54,10.094,0.021,9.515,0.018000000000000002,9.302,0.012,0.8726,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,408.11,363.575,343.25699999999995,319.722,304.975,281.435,272.096,261.192,250.116,241.41,238.088,237.93400000000003,238.068,246.318,0.001,0.005,-0.005,0.8628,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03088,-0.58211,10068797,2127790093377453696,3693,129,42.064,0.073,0.073,0.417,0.011,0.011,0.004,0,0,50.96,9.29,-12.78,0.479,0.059,-0.11
10091786,2MASS J19503771+4705359,3526,52.0,-52.0,4.93,0.049,-0.036000000000000004,-0.3,0.1,-0.1,0.335,0.044000000000000004,-0.044000000000000004,0.514,0.015,-0.015,13.29,3.727,-2.017,DSEP,15.998,0.5049,0.8107,-0.6944,0.1969,272.945,2.627,-2.584,0,0,0,,q1_q17_dr25_stellar,2017-03-23,297.65714,47.093311,11111101110111011,PHO2,PHO2,PHO2,13.599,0.025,12.944,0.021,12.7,0.026,0.695,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,512.623,465.34,444.534,419.185,404.439,375.346,364.594,347.657,329.765,315.8640000000001,305.025,297.112,295.295,284.3540000000001,0.079,0.015,-0.015,0.695,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.21261,-0.50446,10091786,2086323455447879680,3527,123,272.945,2.627,2.584,0.514,0.015,0.015,0.095,0,0,161.39,20.43,-22.47,0.329,0.033,-0.04
10082611,2MASS J19385272+4703022,3805,53.0,-53.0,4.7330000000000005,0.032,-0.017,-0.1,0.1,-0.1,0.519,0.027000000000000003,-0.024,0.578,0.016,-0.016,5.426,0.8008,-0.4185,DSEP,15.107,0.5498,0.5683,-0.4135,0.1158,235.688,1.655,-1.636,0,0,0,,q1_q17_dr25_stellar,2017-03-23,294.71967,47.050629,11111111111111111,PHO2,PHO2,PHO2,12.835,0.02,12.199000000000002,0.018000000000000002,12.025,0.016,0.8734,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,225.373,197.063,182.595,167.62,158.136,142.487,136.095,127.036,117.224,109.929,105.196,101.595,100.455,94.602,0.105,0.008,-0.011,0.8734,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.30175,-0.69585,10082611,2128529136990786944,3804,133,235.688,1.655,1.636,0.578,0.016,0.016,0.052,0,0,197.69,11.78,-14.72,0.513,0.023,-0.03
10099790,2MASS J19594708+4703260,3628,43.0,-49.0,4.842,0.038,-0.028,-0.2,0.1,-0.1,0.42700000000000005,0.027999999999999997,-0.034,0.518,0.015,-0.015,8.708,1.5630000000000002,-1.1,DSEP,15.151,0.5313,0.7140000000000001,-0.5947,0.1699,193.127,1.192,-1.18,0,0,0,,q1_q17_dr25_stellar,2017-03-23,299.9462,47.05724,11111101110111011,PHO2,PHO2,PHO2,12.794,0.022,12.151,0.021,11.937,0.024,0.6976,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,345.858,305.487,285.652,264.928,251.851,229.643,220.1,203.644,187.808,178.113,172.47099999999998,167.98,167.31,160.025,0.068,0.008,-0.01,0.6976,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.22366,-0.62965,10099790,2085437970633448960,3627,127,193.127,1.192,1.18,0.518,0.015,0.015,0.082,0,0,145.53,11.92,-13.41,0.41,0.026,-0.032
10118339,2MASS J18425332+4708414,3522,63.0,-78.0,4.848,0.055,-0.035,0.0,0.1,-0.1,0.41100000000000003,0.047,-0.057,0.475,0.013,-0.013,9.054,2.694,-1.4409999999999998,DSEP,15.173,0.4563,0.6713,-0.3574,0.0487,159.8,0.92,-0.912,0,0,0,,q1_q17_dr25_stellar,2017-03-23,280.7222,47.144852,11111111111111111,PHO2,PHO2,PHO2,12.661,0.021,12.046,0.02,11.816,0.015,0.8737,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,320.964,284.1740000000001,265.895,246.191,234.856,213.145,204.74,192.374,178.03099999999995,166.456,159.232,153.403,151.933,144.096,0.056,0.011,-0.014,0.8737,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.30047,-0.63368,10118339,2119405934959090688,3522,123,159.8,0.92,0.912,0.475,0.013,0.013,0.037,0,0,129.05,16.02,-20.03,0.4,0.04,-0.054000000000000006
10093963,2MASS J19530935+4701044,3692,51.0,-58.0,4.796,0.033,-0.03,-0.1,0.1,-0.1,0.484,0.024,-0.034,0.518,0.015,-0.015,6.972,1.138,-0.7468,DSEP,15.595999999999998,0.5037,0.6899,-0.514,0.1368,235.405,1.762,-1.741,0,0,0,,q1_q17_dr25_stellar,2017-03-23,298.28897,47.01791,11111101110111011,PHO2,PHO2,PHO2,13.232,0.022,12.616,0.019,12.380999999999998,0.023,0.6977,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,418.687,373.908,354.1690000000001,331.222,315.269,287.093,274.394,258.403,241.875,228.254,219.255,212.415,210.061,202.016,0.11,0.011,-0.012,0.6977,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25904,-0.59626,10093963,2085577471170232960,3691,129,235.405,1.762,1.741,0.518,0.015,0.015,0.108,0,0,204.32,16.26,-18.3,0.461,0.029,-0.032
10124435,2MASS J18571849+4709198,3719,44.0,-50.0,4.812,0.039,-0.025,-0.3,0.1,-0.1,0.44799999999999995,0.027000000000000003,-0.027000000000000003,0.629,0.019,-0.019,7.6720000000000015,1.381,-0.8014,DSEP,15.941,0.6099,0.6842,-0.7111,0.2394,393.646,6.025,-5.861,0,0,0,,q1_q17_dr25_stellar,2017-03-23,284.32706,47.155521,11111111111111111,PHO2,PHO2,PHO2,13.624,0.026,13.011,0.027000000000000003,12.828,0.03,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,458.982,412.32,390.153,363.744,347.5540000000001,319.454,307.487,293.4190000000001,283.046,267.85400000000004,256.011,245.72,243.169,233.653,0.125,0.01,-0.013,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.28202,-0.58386,10124435,2107399444080905728,3720,130,393.646,6.025,5.861,0.629,0.019,0.019,0.078,0,0,231.38,15.96,-20.53,0.435,0.027000000000000003,-0.03
10119326,2MASS J18452654+4707199,3496,62.0,-69.0,4.979,0.049,-0.066,-0.3,0.1,-0.1,0.309,0.051,-0.063,0.533,0.015,-0.015,16.41,4.879,-4.127,DSEP,15.334,0.4876,0.8392,-0.7076,0.1976,212.715,1.193,-1.183,0,0,0,,q1_q17_dr25_stellar,2017-03-23,281.3606,47.122211,11111111111111111,PHO2,PHO2,PHO2,12.933,0.022,12.27,0.022,12.039,0.011,0.8736,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,338.657,303.245,286.581,268.527,257.015,235.902,227.584,214.172,199.693,187.496,179.203,173.25799999999995,171.625,164.997,0.041,0.015,-0.013,0.8736,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.27563000000000004,-0.56987,10119326,2119218747401350272,3496,122,212.715,1.193,1.183,0.533,0.015,0.015,0.082,0,0,106.91,19.74,-17.77,0.298,0.052000000000000005,-0.043
10124585,2MASS J18573444+4710265,3634,90.0,-99.0,4.795,0.055,-0.04,0.0,0.1,-0.1,0.47600000000000003,0.043,-0.057,0.52,0.015,-0.015,6.999,2.095,-1.121,DSEP,15.157,0.4934,0.6278,-0.3717,0.0689,195.209,1.393,-1.377,0,0,0,,q1_q17_dr25_stellar,2017-03-23,284.39352,47.17403,11111111111111111,PHO2,PHO2,PHO2,12.777,0.023,12.153,0.021,11.973,0.018000000000000002,0.8734,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,237.378,206.569,190.78,175.03599999999997,165.38299999999995,149.03799999999995,142.04,131.18200000000002,119.215,110.651,104.025,98.007,96.434,88.51799999999999,0.08,0.012,-0.017,0.8734,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.42703,-0.6947,10124585,2107398069691391488,3634,127,195.209,1.393,1.377,0.52,0.015,0.015,0.049,0,0,162.33,19.03,-23.79,0.458,0.039,-0.054000000000000006
10020291,2MASS J19410123+4658110,3673,132.0,-132.0,4.691,0.08,-0.02,0.56,0.05,-0.3,0.561,0.04,-0.069,0.422,0.012,-0.012,4.498,1.756,-0.4685,DSEP,15.032,0.6229,-0.2111,0.625,-0.1894,116.082,0.617,-0.612,0,0,0,,q1_q17_dr25_stellar,2017-03-23,295.25513,46.969742,11111111111111111,KIC0,KIC0,KIC0,12.338,0.025,11.757,0.023,11.542,0.019,0.8733,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,252.39,226.465,215.155,201.753,193.553,179.52200000000005,173.38099999999997,164.78799999999995,154.153,147.35299999999995,142.722,138.42,137.67600000000002,133.966,0.086,0.012,-0.024,0.8733,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20556,-0.53696,10020291,2080508344607038336,3440,120,116.082,0.617,0.612,0.422,0.012,0.012,0.047,0,0,169.88,17.26,-34.52,0.56,0.032,-0.081
10128261,2MASS J19045491+4712000,3756,85.0,-94.0,4.753,0.058,-0.031,-0.1,0.2,-0.2,0.503,0.042,-0.051,0.651,0.019,-0.019,5.896,1.716,-0.8586,DSEP,15.877,0.5264,0.6538,-0.5062,0.1433,394.185,5.55,-5.413,0,0,0,,q1_q17_dr25_stellar,2017-03-23,286.2288200000001,47.200001,11111111111111111,PHO2,PHO2,PHO2,13.653,0.026,12.937,0.023,12.743,0.024,0.8735,1458.931,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,374.911,327.377,303.58,278.805,262.82,236.867,226.376,211.825,195.597,183.826,176.94799999999995,171.52200000000005,170.245,163.316,0.151,0.018000000000000002,-0.022,0.8735,1458.931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.25617,-0.69424,10128261,2130700672453183360,3757,131,394.185,5.55,5.413,0.651,0.019,0.019,0.08,0,0,270.8,30.64,-37.45,0.494,0.039,-0.054000000000000006
